game,draw_id,draw_date,draw_time,draw_slot,result_kind,main_numbers,bonus_numbers,source_url,source_sha256,retrieved_at
power655,01372,2026-07-16,18:00:00,evening,number_set,19 20 33 45 48 53,21,https://vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/655?id=01372&nocatche=1,d45ba94b55ac91ab1814b03c8deed5de0f2658b60d22707c939a61403892121c,2026-08-01T12:40:18+00:00
power655,01373,2026-07-18,18:00:00,evening,number_set,22 41 45 48 54 55,16,https://vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/655?id=01373&nocatche=1,ea4b756162fdfb13fbc714f682a2e15e868ae3b65f4f8e5910460ea16d9266ef,2026-08-01T12:40:17+00:00
power655,01374,2026-07-21,18:00:00,evening,number_set,8 11 22 24 32 39,13,https://vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/655?id=01374&nocatche=1,b983a276aedddaf3b6afe3e6937cb8afe28bc477cdbb636e055a8d6dd20fdb6e,2026-08-01T12:40:16+00:00
power655,01375,2026-07-23,18:00:00,evening,number_set,1 3 8 38 40 55,36,https://vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/655?id=01375&nocatche=1,40cf714c7d594ccd237f5bed112e07b3e6b4c3beed4439305cc4b03112262a51,2026-08-01T12:40:16+00:00
power655,01376,2026-07-25,18:00:00,evening,number_set,5 9 27 33 37 50,48,https://vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/655?id=01376&nocatche=1,f677c31662e98b964612eecff846cf1872714abda8277187084a19f144e1656b,2026-08-01T12:40:15+00:00
power655,01377,2026-07-28,18:00:00,evening,number_set,7 22 23 27 41 44,48,https://vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/655?id=01377&nocatche=1,a23a179b788f7b5a6c3f37ddd82ec0761bf76ad00e206c1211d457ca392d6ef9,2026-08-01T12:40:15+00:00
power655,01378,2026-07-30,18:00:00,evening,number_set,2 12 24 28 43 49,51,https://vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/655?id=01378&nocatche=1,df91fa1fa332beef935214ed4e997ca4eb0be6ff5d40396c049f870d172f6106,2026-08-01T12:40:15+00:00
power655,01379,2026-08-01,18:00:00,evening,number_set,11 14 16 44 49 55,39,https://vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/655?id=01379&nocatche=1,20659b6128863a10fa066a8b509afcaa51e69da280d33283d12cdbe20f36c7b8,2026-08-01T12:40:14+00:00
