game,draw_id,prize_code,prize_name,amount_vnd,winner_count,jackpot_vnd
power655,00903,giai-ba,Giải Ba,50000,23666,
power655,00904,jackpot-1,Jackpot 1,,0,109923542850
power655,00904,jackpot-2,Jackpot 2,,0,3732276050
power655,00904,giai-nhat,Giải Nhất,40000000,16,
power655,00904,giai-nhi,Giải Nhì,500000,1227,
power655,00904,giai-ba,Giải Ba,50000,27339,
power655,00905,jackpot-1,Jackpot 1,,0,119322221250
power655,00905,jackpot-2,Jackpot 2,,0,4776573650
power655,00905,giai-nhat,Giải Nhất,40000000,15,
power655,00905,giai-nhi,Giải Nhì,500000,1372,
power655,00905,giai-ba,Giải Ba,50000,28126,
power655,00906,jackpot-1,Jackpot 1,,0,129014374350
power655,00906,jackpot-2,Jackpot 2,,0,5853479550
power655,00906,giai-nhat,Giải Nhất,40000000,29,
power655,00906,giai-nhi,Giải Nhì,500000,1756,
power655,00906,giai-ba,Giải Ba,50000,38080,
power655,00907,jackpot-1,Jackpot 1,,0,138815469750
power655,00907,jackpot-2,Jackpot 2,,0,6942490150
power655,00907,giai-nhat,Giải Nhất,40000000,23,
power655,00907,giai-nhi,Giải Nhì,500000,1449,
power655,00907,giai-ba,Giải Ba,50000,30445,
power655,00908,jackpot-1,Jackpot 1,,0,147710573850
power655,00908,jackpot-2,Jackpot 2,,0,7930835050
power655,00908,giai-nhat,Giải Nhất,40000000,44,
power655,00908,giai-nhi,Giải Nhì,500000,1852,
power655,00908,giai-ba,Giải Ba,50000,38078,
power655,00909,jackpot-1,Jackpot 1,,0,159476961450
power655,00909,jackpot-2,Jackpot 2,,1,9238211450
power655,00909,giai-nhat,Giải Nhất,40000000,22,
power655,00909,giai-nhi,Giải Nhì,500000,1666,
power655,00909,giai-ba,Giải Ba,50000,38373,
power655,00910,jackpot-1,Jackpot 1,,0,166915926750
power655,00910,jackpot-2,Jackpot 2,,1,3826551700
power655,00910,giai-nhat,Giải Nhất,40000000,34,
power655,00910,giai-nhi,Giải Nhì,500000,2037,
power655,00910,giai-ba,Giải Ba,50000,39398,
power655,00911,jackpot-1,Jackpot 1,,0,174697190850
power655,00911,jackpot-2,Jackpot 2,,1,3864584900
power655,00911,giai-nhat,Giải Nhất,40000000,32,
power655,00911,giai-nhi,Giải Nhì,500000,1811,
power655,00911,giai-ba,Giải Ba,50000,35148,
power655,00912,jackpot-1,Jackpot 1,,0,184720792350
power655,00912,jackpot-2,Jackpot 2,,0,4113733500
power655,00912,giai-nhat,Giải Nhất,40000000,23,
power655,00912,giai-nhi,Giải Nhì,500000,1754,
power655,00912,giai-ba,Giải Ba,50000,39756,
power655,00913,jackpot-1,Jackpot 1,,0,196667264100
power655,00913,jackpot-2,Jackpot 2,,0,5441119250
power655,00913,giai-nhat,Giải Nhất,40000000,27,
power655,00913,giai-nhi,Giải Nhì,500000,2232,
power655,00913,giai-ba,Giải Ba,50000,43325,
