game,draw_id,prize_code,prize_name,amount_vnd,winner_count,jackpot_vnd
mega645,01049,giai-ba,Giải Ba,30000,15416,
mega645,01050,jackpot,Jackpot,,1,15897330000
mega645,01050,giai-nhat,Giải Nhất,10000000,16,
mega645,01050,giai-nhi,Giải Nhì,300000,991,
mega645,01050,giai-ba,Giải Ba,30000,15166,
mega645,01051,jackpot,Jackpot,,0,13233555500
mega645,01051,giai-nhat,Giải Nhất,10000000,19,
mega645,01051,giai-nhi,Giải Nhì,300000,843,
mega645,01051,giai-ba,Giải Ba,30000,13135,
mega645,01052,jackpot,Jackpot,,0,14678190500
mega645,01052,giai-nhat,Giải Nhất,10000000,16,
mega645,01052,giai-nhi,Giải Nhì,300000,846,
mega645,01052,giai-ba,Giải Ba,30000,14316,
mega645,01053,jackpot,Jackpot,,0,16259386500
mega645,01053,giai-nhat,Giải Nhất,10000000,11,
mega645,01053,giai-nhi,Giải Nhì,300000,689,
mega645,01053,giai-ba,Giải Ba,30000,12670,
mega645,01054,jackpot,Jackpot,,0,17836752000
mega645,01054,giai-nhat,Giải Nhất,10000000,12,
mega645,01054,giai-nhi,Giải Nhì,300000,833,
mega645,01054,giai-ba,Giải Ba,30000,14398,
mega645,01055,jackpot,Jackpot,,0,19452645000
mega645,01055,giai-nhat,Giải Nhất,10000000,26,
mega645,01055,giai-nhi,Giải Nhì,300000,840,
mega645,01055,giai-ba,Giải Ba,30000,14904,
mega645,01056,jackpot,Jackpot,,0,21207310000
mega645,01056,giai-nhat,Giải Nhất,10000000,18,
mega645,01056,giai-nhi,Giải Nhì,300000,752,
mega645,01056,giai-ba,Giải Ba,30000,14755,
mega645,01057,jackpot,Jackpot,,0,23071734000
mega645,01057,giai-nhat,Giải Nhất,10000000,20,
mega645,01057,giai-nhi,Giải Nhì,300000,1139,
mega645,01057,giai-ba,Giải Ba,30000,18221,
mega645,01058,jackpot,Jackpot,,0,24773674000
mega645,01058,giai-nhat,Giải Nhất,10000000,30,
mega645,01058,giai-nhi,Giải Nhì,300000,1230,
mega645,01058,giai-ba,Giải Ba,30000,19496,
mega645,01059,jackpot,Jackpot,,0,26655630500
mega645,01059,giai-nhat,Giải Nhất,10000000,16,
mega645,01059,giai-nhi,Giải Nhì,300000,1014,
mega645,01059,giai-ba,Giải Ba,30000,18005,
mega645,01060,jackpot,Jackpot,,0,28708833500
mega645,01060,giai-nhat,Giải Nhất,10000000,23,
mega645,01060,giai-nhi,Giải Nhì,300000,1136,
mega645,01060,giai-ba,Giải Ba,30000,18632,
mega645,01061,jackpot,Jackpot,,0,31243389000
mega645,01061,giai-nhat,Giải Nhất,10000000,14,
mega645,01061,giai-nhi,Giải Nhì,300000,1111,
mega645,01061,giai-ba,Giải Ba,30000,18665,
mega645,01062,jackpot,Jackpot,,0,33208130500
mega645,01062,giai-nhat,Giải Nhất,10000000,12,
mega645,01062,giai-nhi,Giải Nhì,300000,1209,
mega645,01062,giai-ba,Giải Ba,30000,20188,
mega645,01063,jackpot,Jackpot,,0,35467876000
mega645,01063,giai-nhat,Giải Nhất,10000000,32,
mega645,01063,giai-nhi,Giải Nhì,300000,1312,
mega645,01063,giai-ba,Giải Ba,30000,21204,
mega645,01064,jackpot,Jackpot,,1,39273525000
mega645,01064,giai-nhat,Giải Nhất,10000000,43,
mega645,01064,giai-nhi,Giải Nhì,300000,1416,
mega645,01064,giai-ba,Giải Ba,30000,22382,
mega645,01065,jackpot,Jackpot,,0,13189469000
mega645,01065,giai-nhat,Giải Nhất,10000000,13,
mega645,01065,giai-nhi,Giải Nhì,300000,868,
mega645,01065,giai-ba,Giải Ba,30000,14005,
mega645,01066,jackpot,Jackpot,,0,14604632000
mega645,01066,giai-nhat,Giải Nhất,10000000,13,
mega645,01066,giai-nhi,Giải Nhì,300000,781,
mega645,01066,giai-ba,Giải Ba,30000,13223,
mega645,01067,jackpot,Jackpot,,0,16100659000
mega645,01067,giai-nhat,Giải Nhất,10000000,21,
mega645,01067,giai-nhi,Giải Nhì,300000,969,
mega645,01067,giai-ba,Giải Ba,30000,16206,
