game,draw_id,draw_date,draw_time,draw_slot,result_kind,main_numbers,bonus_numbers,source_url,source_sha256,retrieved_at
max3d,00928,2025-05-23,18:00:00,evening,three_digit_tiers,,,https://www.vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/max-3D?id=00928&nocatche=1,7bd3c40d4e2622cdb9eabfea96ff4e14f54e017a7fbc05f3a41981d84e363aee,2026-08-02T20:25:51+00:00
max3d,00929,2025-05-26,18:00:00,evening,three_digit_tiers,,,https://www.vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/max-3D?id=00929&nocatche=1,7edcc32409bcf65914768c8bd4e93bb9e762443bff1ac441b81e58471aaca2af,2026-08-02T20:25:52+00:00
max3d,00930,2025-05-28,18:00:00,evening,three_digit_tiers,,,https://www.vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/max-3D?id=00930&nocatche=1,98bdd358d9d4d37633877bcf441e35b7caf28e73ac056b7049f2f66d0acf6a04,2026-08-02T20:25:51+00:00
max3d,00931,2025-05-30,18:00:00,evening,three_digit_tiers,,,https://www.vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/max-3D?id=00931&nocatche=1,fc6dabd015d57e9d79300591cdab6a481d20d15dbb26cb255514559dc50659d1,2026-08-02T20:25:52+00:00
max3d,00932,2025-06-02,18:00:00,evening,three_digit_tiers,,,https://www.vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/max-3D?id=00932&nocatche=1,bdd9e92df153629c8829eb18e24b1c71fbfa3e8c01f6990464a829d9d6a8c2ec,2026-08-02T20:25:50+00:00
max3d,00933,2025-06-04,18:00:00,evening,three_digit_tiers,,,https://www.vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/max-3D?id=00933&nocatche=1,002be5fba3c41d29008b6e571af2b793282ed7aef053ebba9847eaac1454c66a,2026-08-02T20:25:50+00:00
max3d,00934,2025-06-06,18:00:00,evening,three_digit_tiers,,,https://www.vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/max-3D?id=00934&nocatche=1,42082b7cf2491cde4ec8601fb5b9cc01eb0b28dbf503d09d6968dc33a300c03f,2026-08-02T20:25:50+00:00
max3d,00935,2025-06-09,18:00:00,evening,three_digit_tiers,,,https://www.vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/max-3D?id=00935&nocatche=1,645d3957342a8b4ae754d7f3279200799f7f8ebae0f809467587313fcb876870,2026-08-02T20:25:50+00:00
max3d,00936,2025-06-11,18:00:00,evening,three_digit_tiers,,,https://www.vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/max-3D?id=00936&nocatche=1,59c7ce5b0ddefdcee6eab757fc7a8dfaedd273d39ba96cdbdcb7e4392361807b,2026-08-02T20:25:49+00:00
max3d,00937,2025-06-13,18:00:00,evening,three_digit_tiers,,,https://www.vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/max-3D?id=00937&nocatche=1,fb2ad3d8d9b3be582b43338384401c1e1bf830b332d82dbca59056660b0488ab,2026-08-02T20:25:50+00:00
max3d,00938,2025-06-16,18:00:00,evening,three_digit_tiers,,,https://www.vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/max-3D?id=00938&nocatche=1,eea5eed024f70ed3c3760e61064bc34b0f607543ecdef1e34e96fd9e94a922d9,2026-08-02T20:25:49+00:00
max3d,00939,2025-06-18,18:00:00,evening,three_digit_tiers,,,https://www.vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/max-3D?id=00939&nocatche=1,3dec4b655cf6094d2e601c91c36d5b2fcb77e2c62ac5ffa928ca145e58b08810,2026-08-02T20:25:48+00:00
