game,draw_id,draw_date,draw_time,draw_slot,result_kind,main_numbers,bonus_numbers,source_url,source_sha256,retrieved_at
lotto535,00790,2026-07-28,,,number_set,7 12 20 21 26,9,https://vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/535?id=00790&nocatche=1,67fe545bc13a29adf59f0becc19d5d691854407c4fd5003accc23cf0786b43f4,2026-08-01T12:40:23+00:00
lotto535,00791,2026-07-29,13:00:00,afternoon,number_set,11 15 19 22 25,5,https://vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/535?id=00791&nocatche=1,7bfd6e3cc1bc1e22abd412c9a034d5c2e2f68ca777276270e6955d1424873d5b,2026-08-01T12:40:23+00:00
lotto535,00792,2026-07-29,21:00:00,night,number_set,19 20 22 29 35,3,https://vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/535?id=00792&nocatche=1,5ddd8dbb2da5bdd2aa64c9f4c29b9767933097e27be64e87e6759f4feca3358e,2026-08-01T12:40:22+00:00
lotto535,00793,2026-07-30,13:00:00,afternoon,number_set,4 10 11 16 18,3,https://vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/535?id=00793&nocatche=1,6d5a0e2bc9ebd4e74245170de517cad32cedd0556473a2065e6caa81988dea8d,2026-08-01T12:40:22+00:00
lotto535,00794,2026-07-30,21:00:00,night,number_set,5 12 24 28 34,3,https://vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/535?id=00794&nocatche=1,65b3faecd2ce6f88929d95e3c153f3bc9392fd85fba7da30ed369c46c0e780c8,2026-08-01T12:40:20+00:00
lotto535,00795,2026-07-31,13:00:00,afternoon,number_set,2 21 27 28 33,3,https://vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/535?id=00795&nocatche=1,bf41135bdf5bec09fe263e679c59804ae18b571ad77e05a96cfe56d6667c4b30,2026-08-01T12:40:21+00:00
lotto535,00796,2026-07-31,21:00:00,night,number_set,15 17 21 28 29,8,https://vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/535?id=00796&nocatche=1,5af017896363611365b775e285643b15836a5f307140a5dd3af3438217555c10,2026-08-01T12:40:21+00:00
lotto535,00797,2026-08-01,,,number_set,5 8 13 32 34,4,https://vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/535?id=00797&nocatche=1,89351696bec4e4264ee486b6b4fed254ec9ef49235b3706e8a686b84fe0e9074,2026-08-01T12:40:20+00:00
