game,draw_id,prize_code,prize_name,amount_vnd,winner_count,jackpot_vnd
mega645,00026,jackpot,Jackpot,,0,44453054500
mega645,00026,giai-nhat,Giải Nhất,10000000,12,
mega645,00026,giai-nhi,Giải Nhì,300000,673,
mega645,00026,giai-ba,Giải Ba,30000,12773,
mega645,00027,jackpot,Jackpot,,0,47104438000
mega645,00027,giai-nhat,Giải Nhất,10000000,22,
mega645,00027,giai-nhi,Giải Nhì,300000,1009,
mega645,00027,giai-ba,Giải Ba,30000,15864,
mega645,00028,jackpot,Jackpot,,0,50637656500
mega645,00028,giai-nhat,Giải Nhất,10000000,17,
mega645,00028,giai-nhi,Giải Nhì,300000,951,
mega645,00028,giai-ba,Giải Ba,30000,16757,
mega645,00029,jackpot,Jackpot,,0,53733170500
mega645,00029,giai-nhat,Giải Nhất,10000000,24,
mega645,00029,giai-nhi,Giải Nhì,300000,1012,
mega645,00029,giai-ba,Giải Ba,30000,15853,
mega645,00030,jackpot,Jackpot,,0,57057357500
mega645,00030,giai-nhat,Giải Nhất,10000000,13,
mega645,00030,giai-nhi,Giải Nhì,300000,730,
mega645,00030,giai-ba,Giải Ba,30000,14744,
mega645,00031,jackpot,Jackpot,,0,60841799500
mega645,00031,giai-nhat,Giải Nhất,10000000,26,
mega645,00031,giai-nhi,Giải Nhì,300000,1107,
mega645,00031,giai-ba,Giải Ba,30000,19336,
mega645,00032,jackpot,Jackpot,,0,64193390500
mega645,00032,giai-nhat,Giải Nhất,10000000,14,
mega645,00032,giai-nhi,Giải Nhì,300000,957,
mega645,00032,giai-ba,Giải Ba,30000,14569,
mega645,00033,jackpot,Jackpot,,0,67219887000
mega645,00033,giai-nhat,Giải Nhất,10000000,44,
mega645,00033,giai-nhi,Giải Nhì,300000,1317,
mega645,00033,giai-ba,Giải Ba,30000,18578,
mega645,00034,jackpot,Jackpot,,0,71430098000
mega645,00034,giai-nhat,Giải Nhất,10000000,21,
mega645,00034,giai-nhi,Giải Nhì,300000,1106,
mega645,00034,giai-ba,Giải Ba,30000,20845,
mega645,00035,jackpot,Jackpot,,0,75539052000
mega645,00035,giai-nhat,Giải Nhất,10000000,20,
mega645,00035,giai-nhi,Giải Nhì,300000,1048,
mega645,00035,giai-ba,Giải Ba,30000,17134,
mega645,00036,jackpot,Jackpot,,0,79596879500
mega645,00036,giai-nhat,Giải Nhất,10000000,21,
mega645,00036,giai-nhi,Giải Nhì,300000,1201,
mega645,00036,giai-ba,Giải Ba,30000,20344,
mega645,00037,jackpot,Jackpot,,0,84060767000
mega645,00037,giai-nhat,Giải Nhất,10000000,49,
mega645,00037,giai-nhi,Giải Nhì,300000,2076,
mega645,00037,giai-ba,Giải Ba,30000,30595,
mega645,00038,jackpot,Jackpot,,0,87558225500
mega645,00038,giai-nhat,Giải Nhất,10000000,66,
mega645,00038,giai-nhi,Giải Nhì,300000,2445,
mega645,00038,giai-ba,Giải Ba,30000,30221,
mega645,00039,jackpot,Jackpot,,1,92030182500
mega645,00039,giai-nhat,Giải Nhất,10000000,17,
mega645,00039,giai-nhi,Giải Nhì,300000,1178,
mega645,00039,giai-ba,Giải Ba,30000,20388,
mega645,00040,jackpot,Jackpot,,0,14659178500
mega645,00040,giai-nhat,Giải Nhất,10000000,26,
mega645,00040,giai-nhi,Giải Nhì,300000,1506,
mega645,00040,giai-ba,Giải Ba,30000,25582,
mega645,00041,jackpot,Jackpot,,0,17842703500
mega645,00041,giai-nhat,Giải Nhất,10000000,44,
mega645,00041,giai-nhi,Giải Nhì,300000,1913,
mega645,00041,giai-ba,Giải Ba,30000,31209,
mega645,00042,jackpot,Jackpot,,0,22362082500
mega645,00042,giai-nhat,Giải Nhất,10000000,51,
mega645,00042,giai-nhi,Giải Nhì,300000,2505,
mega645,00042,giai-ba,Giải Ba,30000,42746,
mega645,00043,jackpot,Jackpot,,0,32312328000
mega645,00043,giai-nhat,Giải Nhất,10000000,105,
mega645,00043,giai-nhi,Giải Nhì,300000,4120,
mega645,00043,giai-ba,Giải Ba,30000,69563,
mega645,00044,jackpot,Jackpot,,0,42928404000
mega645,00044,giai-nhat,Giải Nhất,10000000,47,
mega645,00044,giai-nhi,Giải Nhì,300000,3437,
mega645,00044,giai-ba,Giải Ba,30000,56659,
mega645,00045,jackpot,Jackpot,,0,52703398000
mega645,00045,giai-nhat,Giải Nhất,10000000,72,
mega645,00045,giai-nhi,Giải Nhì,300000,3160,
mega645,00045,giai-ba,Giải Ba,30000,53369,
mega645,00046,jackpot,Jackpot,,1,64808542500
mega645,00046,giai-nhat,Giải Nhất,10000000,79,
mega645,00046,giai-nhi,Giải Nhì,300000,4255,
mega645,00046,giai-ba,Giải Ba,30000,66894,
mega645,00047,jackpot,Jackpot,,0,17235306000
mega645,00047,giai-nhat,Giải Nhất,10000000,69,
mega645,00047,giai-nhi,Giải Nhì,300000,3393,
mega645,00047,giai-ba,Giải Ba,30000,56670,
mega645,00048,jackpot,Jackpot,,0,23252753000
mega645,00048,giai-nhat,Giải Nhất,10000000,79,
mega645,00048,giai-nhi,Giải Nhì,300000,3581,
mega645,00048,giai-ba,Giải Ba,30000,61079,
mega645,00049,jackpot,Jackpot,,0,38977855000
mega645,00049,giai-nhat,Giải Nhất,10000000,111,
mega645,00049,giai-nhi,Giải Nhì,300000,5563,
mega645,00049,giai-ba,Giải Ba,30000,93158,
mega645,00050,jackpot,Jackpot,,0,54743403000
mega645,00050,giai-nhat,Giải Nhất,10000000,90,
mega645,00050,giai-nhi,Giải Nhì,300000,4637,
mega645,00050,giai-ba,Giải Ba,30000,79638,
mega645,00051,jackpot,Jackpot,,1,71066641000
mega645,00051,giai-nhat,Giải Nhất,10000000,128,
mega645,00051,giai-nhi,Giải Nhì,300000,5554,
mega645,00051,giai-ba,Giải Ba,30000,87443,
mega645,00052,jackpot,Jackpot,,0,23092467000
mega645,00052,giai-nhat,Giải Nhất,10000000,131,
mega645,00052,giai-nhi,Giải Nhì,300000,6483,
mega645,00052,giai-ba,Giải Ba,30000,109092,
mega645,00053,jackpot,Jackpot,,0,38611602000
mega645,00053,giai-nhat,Giải Nhất,10000000,120,
mega645,00053,giai-nhi,Giải Nhì,300000,6130,
mega645,00053,giai-ba,Giải Ba,30000,101233,
mega645,00054,jackpot,Jackpot,,1,56100126000
mega645,00054,giai-nhat,Giải Nhất,10000000,129,
mega645,00054,giai-nhi,Giải Nhì,300000,5555,
mega645,00054,giai-ba,Giải Ba,30000,93293,
mega645,00055,jackpot,Jackpot,,0,22673898000
mega645,00055,giai-nhat,Giải Nhất,10000000,137,
mega645,00055,giai-nhi,Giải Nhì,300000,6685,
mega645,00055,giai-ba,Giải Ba,30000,111913,
mega645,00056,jackpot,Jackpot,,0,37849277000
mega645,00056,giai-nhat,Giải Nhất,10000000,95,
mega645,00056,giai-nhi,Giải Nhì,300000,5266,
mega645,00056,giai-ba,Giải Ba,30000,87124,
mega645,00057,jackpot,Jackpot,,1,54886916500
mega645,00057,giai-nhat,Giải Nhất,10000000,110,
mega645,00057,giai-nhi,Giải Nhì,300000,5613,
mega645,00057,giai-ba,Giải Ba,30000,94353,
mega645,00058,jackpot,Jackpot,,0,21722316000
mega645,00058,giai-nhat,Giải Nhất,10000000,128,
mega645,00058,giai-nhi,Giải Nhì,300000,6151,
mega645,00058,giai-ba,Giải Ba,30000,103216,
mega645,00059,jackpot,Jackpot,,0,34053459000
mega645,00059,giai-nhat,Giải Nhất,10000000,95,
mega645,00059,giai-nhi,Giải Nhì,300000,4740,
mega645,00059,giai-ba,Giải Ba,30000,78792,
mega645,00060,jackpot,Jackpot,,0,49357581000
mega645,00060,giai-nhat,Giải Nhất,10000000,119,
mega645,00060,giai-nhi,Giải Nhì,300000,5137,
mega645,00060,giai-ba,Giải Ba,30000,85135,
mega645,00061,jackpot,Jackpot,,1,69582180000
mega645,00061,giai-nhat,Giải Nhất,10000000,169,
mega645,00061,giai-nhi,Giải Nhì,300000,6539,
mega645,00061,giai-ba,Giải Ba,30000,113471,
mega645,00062,jackpot,Jackpot,,0,18528083000
mega645,00062,giai-nhat,Giải Nhất,10000000,102,
mega645,00062,giai-nhi,Giải Nhì,300000,5292,
mega645,00062,giai-ba,Giải Ba,30000,83781,
mega645,00063,jackpot,Jackpot,,0,26567247500
mega645,00063,giai-nhat,Giải Nhất,10000000,130,
mega645,00063,giai-nhi,Giải Nhì,300000,5253,
mega645,00063,giai-ba,Giải Ba,30000,76756,
mega645,00064,jackpot,Jackpot,,0,42627154000
mega645,00064,giai-nhat,Giải Nhất,10000000,112,
mega645,00064,giai-nhi,Giải Nhì,300000,6196,
mega645,00064,giai-ba,Giải Ba,30000,97449,
mega645,00065,jackpot,Jackpot,,0,57376762500
mega645,00065,giai-nhat,Giải Nhất,10000000,95,
mega645,00065,giai-nhi,Giải Nhì,300000,4340,
mega645,00065,giai-ba,Giải Ba,30000,71908,
mega645,00066,jackpot,Jackpot,,0,73843316500
mega645,00066,giai-nhat,Giải Nhất,10000000,85,
mega645,00066,giai-nhi,Giải Nhì,300000,4495,
mega645,00066,giai-ba,Giải Ba,30000,76179,
mega645,00067,jackpot,Jackpot,,0,98384793500
mega645,00067,giai-nhat,Giải Nhất,10000000,151,
mega645,00067,giai-nhi,Giải Nhì,300000,8092,
mega645,00067,giai-ba,Giải Ba,30000,138149,
mega645,00068,jackpot,Jackpot,,0,126099475000
mega645,00068,giai-nhat,Giải Nhất,10000000,160,
mega645,00068,giai-nhi,Giải Nhì,300000,8884,
mega645,00068,giai-ba,Giải Ba,30000,151358,
mega645,00069,jackpot,Jackpot,,2,159232985000
mega645,00069,giai-nhat,Giải Nhất,10000000,196,
mega645,00069,giai-nhi,Giải Nhì,300000,10127,
mega645,00069,giai-ba,Giải Ba,30000,176792,
mega645,00070,jackpot,Jackpot,,0,21524698500
mega645,00070,giai-nhat,Giải Nhất,10000000,103,
mega645,00070,giai-nhi,Giải Nhì,300000,5767,
mega645,00070,giai-ba,Giải Ba,30000,95614,
mega645,00071,jackpot,Jackpot,,0,33158297500
mega645,00071,giai-nhat,Giải Nhất,10000000,101,
mega645,00071,giai-nhi,Giải Nhì,300000,5458,
mega645,00071,giai-ba,Giải Ba,30000,86880,
mega645,00072,jackpot,Jackpot,,1,48794185000
mega645,00072,giai-nhat,Giải Nhất,10000000,158,
mega645,00072,giai-nhi,Giải Nhì,300000,6287,
mega645,00072,giai-ba,Giải Ba,30000,93921,
mega645,00073,jackpot,Jackpot,,0,20148356500
mega645,00073,giai-nhat,Giải Nhất,10000000,95,
mega645,00073,giai-nhi,Giải Nhì,300000,5251,
mega645,00073,giai-ba,Giải Ba,30000,87141,
mega645,00074,jackpot,Jackpot,,1,30531270500
mega645,00074,giai-nhat,Giải Nhất,10000000,87,
mega645,00074,giai-nhi,Giải Nhì,300000,4203,
mega645,00074,giai-ba,Giải Ba,30000,72269,
mega645,00075,jackpot,Jackpot,,0,18718983500
mega645,00075,giai-nhat,Giải Nhất,10000000,74,
mega645,00075,giai-nhi,Giải Nhì,300000,3893,
mega645,00075,giai-ba,Giải Ba,30000,67251,
mega645,00076,jackpot,Jackpot,,1,28747032500
mega645,00076,giai-nhat,Giải Nhất,10000000,107,
mega645,00076,giai-nhi,Giải Nhì,300000,4412,
mega645,00076,giai-ba,Giải Ba,30000,76356,
mega645,00077,jackpot,Jackpot,,1,17491608500
mega645,00077,giai-nhat,Giải Nhất,10000000,100,
mega645,00077,giai-nhi,Giải Nhì,300000,4117,
mega645,00077,giai-ba,Giải Ba,30000,62391,
mega645,00078,jackpot,Jackpot,,0,17152877000
mega645,00078,giai-nhat,Giải Nhất,10000000,115,
mega645,00078,giai-nhi,Giải Nhì,300000,4520,
mega645,00078,giai-ba,Giải Ba,30000,65295,
mega645,00079,jackpot,Jackpot,,0,24189181500
mega645,00079,giai-nhat,Giải Nhất,10000000,97,
mega645,00079,giai-nhi,Giải Nhì,300000,4861,
mega645,00079,giai-ba,Giải Ba,30000,77375,
mega645,00080,jackpot,Jackpot,,0,31062333000
mega645,00080,giai-nhat,Giải Nhất,10000000,74,
mega645,00080,giai-nhi,Giải Nhì,300000,3419,
mega645,00080,giai-ba,Giải Ba,30000,58607,
mega645,00081,jackpot,Jackpot,,0,44064415000
mega645,00081,giai-nhat,Giải Nhất,10000000,68,
mega645,00081,giai-nhi,Giải Nhì,300000,3641,
mega645,00081,giai-ba,Giải Ba,30000,62334,
mega645,00082,jackpot,Jackpot,,0,59055061500
mega645,00082,giai-nhat,Giải Nhất,10000000,123,
mega645,00082,giai-nhi,Giải Nhì,300000,5537,
mega645,00082,giai-ba,Giải Ba,30000,89125,
mega645,00083,jackpot,Jackpot,,1,75850074500
mega645,00083,giai-nhat,Giải Nhất,10000000,145,
mega645,00083,giai-nhi,Giải Nhì,300000,6399,
mega645,00083,giai-ba,Giải Ba,30000,101133,
mega645,00084,jackpot,Jackpot,,0,16621416500
mega645,00084,giai-nhat,Giải Nhất,10000000,75,
mega645,00084,giai-nhi,Giải Nhì,300000,3383,
mega645,00084,giai-ba,Giải Ba,30000,52194,
mega645,00085,jackpot,Jackpot,,1,22224383000
mega645,00085,giai-nhat,Giải Nhất,10000000,78,
mega645,00085,giai-nhi,Giải Nhì,300000,3313,
mega645,00085,giai-ba,Giải Ba,30000,55942,
mega645,00086,jackpot,Jackpot,,0,17097119000
mega645,00086,giai-nhat,Giải Nhất,10000000,49,
mega645,00086,giai-nhi,Giải Nhì,300000,2736,
mega645,00086,giai-ba,Giải Ba,30000,46235,
mega645,00087,jackpot,Jackpot,,0,23731260500
mega645,00087,giai-nhat,Giải Nhất,10000000,110,
mega645,00087,giai-nhi,Giải Nhì,300000,4559,
mega645,00087,giai-ba,Giải Ba,30000,71916,
